id,name,violation_id
1,"ILLEGAL POSSESSION OF BLADED, POINTED OR BLUNT WEAPONS - BP 6",1
2,OMNIBUS ELECTION CODE OF THE PHILIPPINES - BP 881,1
3,ACTS OF LASCIVIOUSNESS  - RPC Art. 336,2
4,ADULTERY  - RPC Art. 333,2
5,CONCUBINAGE  - RPC Art. 334,2
6,FALSIFICATION BY PRIVATE INDIVIDUAL AND USE OF FALSIFIED DOCUMENTS  - RPC Art. 172,2
7,USURPATION OF AUTHORITY OR OFFICIAL FUNCTIONS  - RPC Art. 177,2
8,ALARMS AND SCANDALS  - RPC Art. 155,3
9,DIRECT ASSAULTS  - RPC Art. 148,3
10,LIBEL  - RPC Art. 353,3
11,RESISTANCE AND DISOBEDIENCE TO A PERSON IN AUTHORITY OR THE AGENTS OF SUCH PERSON  - RPC Art. 151,3
12,SLANDER (ORAL DEFAMATION) - RPC Art. 358,3
13,"ILLEGAL POSSESSION OF BLADED, POINTED OR BLUNT WEAPONS - BP 6",4
14,OMNIBUS ELECTION CODE OF THE PHILIPPINES - BP 881,4
15,ALARMS AND SCANDALS  - RPC Art. 155,5
16,DIRECT ASSAULTS  - RPC Art. 148,5
17,GRAVE COERCIONS  - RPC Art. 286 amended by 3815 and RA 7890,5
18,GRAVE THREATS  - RPC Art. 282,5
19,KIDNAPPING AND FAILURE TO RETURN A MINOR  - RPC Art. 270,5
20,KIDNAPPING AND SERIOUS ILLEGAL DETENTION  - RPC Art. 267 as amended by RA 18 and RA 1084,5
21,LIGHT COERCIONS - RPC Art. 287,5
22,LIGHT THREATS  - RPC Art. 283,5
23,OTHER FORMS OF TRESPASS  - RPC Art. 281,5
24,OTHER LIGHT THREATS  - RPC Art. 285,5
25,QUALIFIED TRESPASS TO DWELLING  - RPC Art. 280,5
26,RESISTANCE AND DISOBEDIENCE TO A PERSON IN AUTHORITY OR THE AGENTS OF SUCH PERSON  - RPC Art. 151,5
27,UNJUST VEXATIONS - RPC Art. 287,5
28,HOMICIDE  - RPC Art. 249,6
29,LESS SERIOUS PHYSICAL INJURIES  - RPC Art. 265,6
30,MURDER  - RPC Art. 248,6
31,PARRICIDE  - RPC Art. 246,6
32,RAPE - RPC Art 266-A,6
33,RECKLESS IMPRUDENCE RESULTING TO HOMICIDE - RPC Art 365,6
34,RECKLESS IMPRUDENCE RESULTING TO MULTIPLE PHYSICAL INJURY - RPC Art 365,6
35,RECKLESS IMPRUDENCE RESULTING TO PHYSICAL INJURY - RPC Art 365,6
36,SERIOUS PHYSICAL INJURIES  - RPC Art. 263,6
37,SLIGHT PHYSICAL INJURIES AND MALTREATMENT  - RPC Art. 266,6
38,ALARMS AND SCANDALS  - RPC Art. 155,7
39,DIRECT ASSAULTS  - RPC Art. 148,7
40,RESISTANCE AND DISOBEDIENCE TO A PERSON IN AUTHORITY OR THE AGENTS OF SUCH PERSON  - RPC Art. 151,7
41,DESTRUCTIVE ARSON  - RPC Art. 320 amended by PD 1613 and PD 1744,8
42,MALICIOUS MISCHIEF  - RPC Art. 327,8
43,OTHER DECEITS  - RPC Art. 318,8
44,OTHER FORMS OF SWINDLING  - RPC Art. 316 as amended by PD 1689,8
45,QUALIFIED THEFT  - RPC Art. 310  as amended by BP Blg 71,8
46,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,8
47,RECKLESS IMPRUDENCE RESULTING TO MULTIPLE DAMAGE TO PROPERTY - RPC Art 365,8
48,ROBBERY  - RPC Art. 293,8
49,SWINDLING (ESTAFA)  - RPC Art. 315 as amended by PD 1689,8
50,THEFT  - RPC Art. 308,8
51,FALSIFICATION BY PRIVATE INDIVIDUAL AND USE OF FALSIFIED DOCUMENTS  - RPC Art. 172,9
52,ILLEGAL USE OF UNIFORMS OR INSIGNIA  - RPC Art. 179,9
53,INTRIGUING AGAINST HONOR  - RPC Art. 364,9
