id,name
1,Batas Pambansa
2,Crimes Against Chastity
3,Crimes Against Honor
4,Crimes Against National Security & The Law Of The Nations
5,Crimes Against Personal Liberty And Security
6,Crimes Against Persons
7,Crimes Against Popular Representation
8,Crimes Against Property
9,Crimes Against Public Interest
10,Crimes Against Public Order
11,Crimes Against The Fundamental Laws Of The State
12,Crimes Committed By Public Officers
13,Crimes Relative To Opium And Other Prohibited Drugs
14,Final Provisions
15,Presedential Decree
16,Quasi-Offenses
17,Republic Act
