Strand,
TVL - Industrial Arts,
TVL - ICT,
TVL - Home Economics,
Academic - HUMSS,
Academic-General Academic Strand,
TVL-Attraction and Theme Parks,
TVL-Food and Beverage Services NCII; Bread and Pastry NCII,TVL-Food and Beverage Services NCII
TVL-Horticulture,
TVL-Shielded Metal Arc Welding NCII,
TVL-Electrical Installation and Maintenance NCII,
TVL-Computer Systems Servicing NCII,
"ACCOUNTANCY, BUSINESS AND MANAGEMENT 1",
"ACCOUNTANCY, BUSINESS AND MANAGEMENT 2",
"ACCOUNTANCY, BUSINESS AND MANAGEMENT 3",
HUMANITIES AND SOCIAL SCIENCES 1,
HUMANITIES AND SOCIAL SCIENCES 2,
HUMANITIES AND SOCIAL SCIENCES 2,
HUMANITIES AND SOCIAL SCIENCES 4,
HUMANITIES AND SOCIAL SCIENCES 5,
HUMANITIES AND SOCIAL SCIENCES 6,
"SCIENCE, TECHNOLOGY, ENGINEERING, AND MATHEMATICS 1",
"SCIENCE, TECHNOLOGY, ENGINEERING, AND MATHEMATICS 2",
"SCIENCE, TECHNOLOGY, ENGINEERING, AND MATHEMATICS 3",
"SCIENCE, TECHNOLOGY, ENGINEERING, AND MATHEMATICS 4",
ALS- ELECTRICAL INSTALLATION AND MAINTENANCE,
ALS- ELECTRONICS PRODUCTS ASSEMBLY AND SERVICING,
ALS- HOME ECONOMICS,
ALS- INFORMATION AND COMMUNICATION TECHNOLOGY,
 HOME ECONOMICS- 1,
 HOME ECONOMICS- 1,
ELECTRICAL INSTALLATION AND MAINTENANCE 1,
ELECTRICAL INSTALLATION AND MAINTENANCE 2,
ELECTRICAL INSTALLATION AND MAINTENANCE 3,
ECTRONICS PRODUCTS ASSEMBLY AND SERVICING,
 INFORMATION AND COMMUNICATION TECHNOLOGY 1,
 INFORMATION AND COMMUNICATION TECHNOLOGY 2,
